App,Personal data accessed,Why
com.google.android.apps.youtube.kids,Read phone status and identity,internal use
air.com.peppapig.activitymaker,Take pictures and videos,internal use
com.gazoob.rwbck_library,Find accounts on the device,N/A
com.tocaboca.tocakitchen2,Read phone status and identity,N/A
com.barbie.lifehub,Read phone status and identity,N/A
com.aboutfun.kidspuzzles,Read phone status and identity,N/A
com.taptaptales.playandlearnwithmaya,Take pictures and videos,internal use
com.nimbleminds.rhymingwordsfree,Read phone status and identity,internal use
com.rutaett.HeroesMovie,Read phone status and identity,N/A
kr.co.smartstudy.bodlebookiapfree_us_android_googlemarket,Read phone status and identity,internal use
,Find accounts on the device,internal use
kr.co.smartstudy.bodlebookiapstory_us_android_googlemarket_a,Read phone status and identity,internal use
,Find accounts on the device,internal use
kr.co.smartstudy.phonicsiap_android_googlemarket,Find accounts on the device,internal use
,Take pictures and videos,internal use
com.cubicfrog.imakegiantgummies,Read phone status and identity,advertisement
,Approximate location (network-based),N/A
bluepin_app.cont.POLI_ENGLISH,Read phone status and identity,internal use
,Find accounts on the device,internal use
,Take pictures and videos,N/a
ssbooks.com.bodlebook_mp3_02_us_android_googlemarket,Read phone status and identity,internal use
,Find accounts on the device,internal use
,Receive text messages (sms),N/A
net.greysox.TayoX,Precise location (gps and network-based),internal use
,Read phone status and identity,internal use
,Read calendar events plus confidential information,N/A
,Add or modify calendar events and send email to guests without owners\' knowledge,N/A
